ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
25425-1602-1.zip,202202081133,愛知郡愛荘町,4,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,5,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1653,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1654,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1655,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1656,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1661,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1661-1,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1696,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1697,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1697-1,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,1698-1,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,道-1,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,道-69477,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,道-69478,,
25425-1602-1.zip,202202081133,愛知郡愛荘町,長狭物不明-2,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,4-2W1,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,13-2,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,13-3,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,13-5,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,13-7,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,13-9,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,13-11,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,13-12,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,17-3,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,20-1,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,20-6,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,20-8,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,21,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,21-1,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,22,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,22-1,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,22-3,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,24-2,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,24-3,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,24-4,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,24-5,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,24-6,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,24-7,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,25-1,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,25-3,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,25-5,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,25-6,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,25-7,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,25-8,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,30-2,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,30-4,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,31-2,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,31-3,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,31-6,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,31-7,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,31-8,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,31-9,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,31-10,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,31-11,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,32-4,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,34-2,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,34-4,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,34-6,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,34-7,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,34-8,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,無地番-173,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,無地番-179,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,道-392,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,道-69404,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,道-69405,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,道-69406,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,道-69407,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,道-69408,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,水-413,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,水-69409,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,水-69410,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,水-69411,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,水-69412,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,水-69413,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,長狭物不明-81,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,39-5,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,39-6,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,39-12,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,40-3,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,40-4,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,40-5,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,40-6,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,40-7,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,41-4,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,50,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,50-2,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,50-3,,
25425-1602-1.zip,202202081133,愛知郡愛荘町愛知川,50-6,,
